0,z,1
2,ɛ,3
4,y,5
6,5,7
8,0,9
10,ɛ,11
12,ɛ,13
12,ɛ,14
15,C,16
17,ɛ,18
19,ɛ,20
21,I,22
23,ɛ,24
25,ɛ,26
27,ɛ,28
29,U,30
31,ɛ,32
33,ɛ,34
35,9,36
37,ɛ,38
39,9,40
41,ɛ,42
43,ɛ,44
22,ɛ,45
46,X,47
34,ɛ,48
49,ɛ,50
51,ɛ,31
52,B,53
54,K,49
55,ɛ,56
55,ɛ,57
58,ɛ,59
60,4,61
62,ɛ,63
62,ɛ,64
65,m,66
67,ɛ,68
69,A,70
71,ɛ,72
73,ɛ,18
74,ɛ,75
74,ɛ,76
77,ɛ,78
79,ɛ,80
81,3,82
83,ɛ,84
85,ɛ,86
85,ɛ,87
88,ɛ,89
90,ɛ,91
90,ɛ,92
93,ɛ,94
95,ɛ,96
97,ɛ,98
97,ɛ,99
100,ɛ,101
102,ɛ,103
104,ɛ,105
106,ɛ,107
106,ɛ,108
109,ɛ,110
109,ɛ,111
112,ɛ,113
112,ɛ,114
115,S,116
117,p,118
119,ɛ,120
119,ɛ,121
122,ɛ,123
122,ɛ,124
125,ɛ,126
127,E,128
129,7,130
131,ɛ,132
133,ɛ,19
134,ɛ,135
134,ɛ,15
136,S,137
82,ɛ,20
138,ɛ,139
140,ɛ,141
142,ɛ,143
142,ɛ,127
87,b,144
145,ɛ,146
14,x,147
148,4,149
150,t,151
152,ɛ,153
152,ɛ,154
155,ɛ,119
155,ɛ,156
157,ɛ,158
157,ɛ,159
160,ɛ,161
162,ɛ,163
164,D,165
163,ɛ,166
167,ɛ,168
169,v,170
68,ɛ,171
172,ɛ,173
174,ɛ,175
174,ɛ,176
177,ɛ,178
179,7,180
181,ɛ,182
181,ɛ,179
183,ɛ,155
183,ɛ,184
57,Y,185
11,ɛ,186
187,ɛ,188
189,ɛ,95
190,ɛ,191
192,ɛ,193
192,ɛ,194
166,ɛ,195
196,1,25
99,8,197
130,ɛ,198
199,ɛ,189
191,ɛ,200
171,ɛ,201
202,ɛ,203
202,ɛ,60
101,ɛ,204
205,ɛ,206
207,ɛ,208
123,ɛ,209
123,ɛ,210
132,ɛ,211
212,ɛ,213
214,ɛ,215
216,Z,217
124,W,138
218,ɛ,102
219,ɛ,162
75,ɛ,220
75,ɛ,221
222,ɛ,223
224,ɛ,225
226,d,227
228,ɛ,229
230,a,231
146,ɛ,232
233,A,234
235,ɛ,236
237,ɛ,8
237,ɛ,196
64,3,238
239,j,240
175,ɛ,241
175,ɛ,242
243,ɛ,106
243,ɛ,244
245,f,246
247,n,248
249,ɛ,11
210,V,43
250,ɛ,79
84,ɛ,251
252,ɛ,253
252,ɛ,254
255,ɛ,256
257,ɛ,258
259,ɛ,260
259,ɛ,245
261,6,205
262,ɛ,263
262,ɛ,264
262,ɛ,265
266,ɛ,90
266,ɛ,267
268,ɛ,189
128,ɛ,172
269,E,270
271,ɛ,272
273,ɛ,163
121,i,274
275,q,276
42,ɛ,126
70,ɛ,277
278,ɛ,279
278,ɛ,280
213,ɛ,89
281,f,282
283,ɛ,178
284,ɛ,285
286,G,287
288,C,289
290,ɛ,257
291,ɛ,292
291,ɛ,4
293,ɛ,294
116,ɛ,295
296,x,297
274,ɛ,24
298,r,299
103,ɛ,23
300,ɛ,301
300,ɛ,150
